,area_fips,area_title_2020,agglvl_title_2020,annual_avg_estabs_count_2020,annual_avg_emplvl_2020,total_annual_wages_2020,taxable_annual_wages_2020,annual_contributions_2020,annual_avg_wkly_wage_2020,avg_annual_pay_2020,oty_annual_avg_estabs_count_chg_2020,oty_annual_avg_estabs_count_pct_chg_2020,oty_annual_avg_emplvl_chg_2020,oty_annual_avg_emplvl_pct_chg_2020,oty_total_annual_wages_chg_2020,oty_total_annual_wages_pct_chg_2020,oty_taxable_annual_wages_chg_2020,oty_taxable_annual_wages_pct_chg_2020,oty_annual_contributions_chg_2020,oty_annual_contributions_pct_chg_2020,oty_annual_avg_wkly_wage_chg_2020,oty_annual_avg_wkly_wage_pct_chg_2020,oty_avg_annual_pay_chg_2020,oty_avg_annual_pay_pct_chg_2020,area_title_2021,agglvl_title_2021,annual_avg_estabs_count_2021,annual_avg_emplvl_2021,total_annual_wages_2021,taxable_annual_wages_2021,annual_contributions_2021,annual_avg_wkly_wage_2021,avg_annual_pay_2021,oty_annual_avg_estabs_count_chg_2021,oty_annual_avg_estabs_count_pct_chg_2021,oty_annual_avg_emplvl_chg_2021,oty_annual_avg_emplvl_pct_chg_2021,oty_total_annual_wages_chg_2021,oty_total_annual_wages_pct_chg_2021,oty_taxable_annual_wages_chg_2021,oty_taxable_annual_wages_pct_chg_2021,oty_annual_contributions_chg_2021,oty_annual_contributions_pct_chg_2021,oty_annual_avg_wkly_wage_chg_2021,oty_annual_avg_wkly_wage_pct_chg_2021,oty_avg_annual_pay_chg_2021,oty_avg_annual_pay_pct_chg_2021,area_title_2022,agglvl_title_2022,annual_avg_estabs_count_2022,annual_avg_emplvl_2022,total_annual_wages_2022,taxable_annual_wages_2022,annual_contributions_2022,annual_avg_wkly_wage_2022,avg_annual_pay_2022,oty_annual_avg_estabs_count_chg_2022,oty_annual_avg_estabs_count_pct_chg_2022,oty_annual_avg_emplvl_chg_2022,oty_annual_avg_emplvl_pct_chg_2022,oty_total_annual_wages_chg_2022,oty_total_annual_wages_pct_chg_2022,oty_taxable_annual_wages_chg_2022,oty_taxable_annual_wages_pct_chg_2022,oty_annual_contributions_chg_2022,oty_annual_contributions_pct_chg_2022,oty_annual_avg_wkly_wage_chg_2022,oty_annual_avg_wkly_wage_pct_chg_2022,oty_avg_annual_pay_chg_2022,oty_avg_annual_pay_pct_chg_2022
0,1000,Alabama -- Statewide,"State, Total Covered",132126,1909145,99675713076,15482725029,177055802,1004,52210,2661,2.1,-80410,-4.0,2507023243,2.6,-275546557,-1.7,-17501048,-9.0,65,6.9,3371,6.9,Alabama -- Statewide,"State, Total Covered",139675,1965189,106823782085,16459670543,267362760,1045,54358,7549,5.7,56044,2.9,7148069009,7.2,976945514,6.3,90306958,51.0,41,4.1,2148,4.1,Alabama -- Statewide,"State, Total Covered",148979,2026102,116114501322,17301471396,218884430,1102,57309,9304,6.7,60913,3.1,9290719237,8.7,841800853,5.1,-48478330,-18.1,57,5.5,2951,5.4
1,1001,"Autauga County, Alabama","County, Total Covered",910,10794,465745049,77812819,963619,830,43147,22,2.5,-313,-2.8,17666851,3.9,1053994,1.4,58078,6.4,54,7.0,2803,6.9,"Autauga County, Alabama","County, Total Covered",964,11123,489569075,82875468,1413467,846,44015,54,5.9,329,3.0,23824026,5.1,5062649,6.5,449848,46.7,16,1.9,868,2.0,"Autauga County, Alabama","County, Total Covered",1020,11535,537282230,88180298,1164918,896,46578,56,5.8,412,3.7,47713155,9.7,5304830,6.4,-248549,-17.6,50,5.9,2563,5.8
2,1003,"Baldwin County, Alabama","County, Total Covered",6686,73087,3023837650,637797833,6789014,796,41373,215,3.3,-3332,-4.4,97509109,3.3,-6250690,-1.0,-487785,-6.7,60,8.2,3080,8.0,"Baldwin County, Alabama","County, Total Covered",7172,76546,3373892203,685880955,10403728,848,44077,486,7.3,3459,4.7,350054553,11.6,48083122,7.5,3614714,53.2,52,6.5,2704,6.5,"Baldwin County, Alabama","County, Total Covered",7766,79972,3760240355,731690360,8695668,904,47019,594,8.3,3426,4.5,386348152,11.5,45809405,6.7,-1708060,-16.4,56,6.6,2942,6.7
3,1005,"Barbour County, Alabama","County, Total Covered",566,7935,322206041,63811477,779334,781,40604,4,0.7,-304,-3.7,14259667,4.6,567250,0.9,-32972,-4.1,62,8.6,3228,8.6,"Barbour County, Alabama","County, Total Covered",585,7719,310741163,63175098,1008242,774,40256,19,3.4,-216,-2.7,-11464878,-3.6,-636379,-1.0,228908,29.4,-7,-0.9,-348,-0.9,"Barbour County, Alabama","County, Total Covered",584,7823,334008300,64126506,793037,821,42697,-1,-0.2,104,1.3,23267137,7.5,951408,1.5,-215205,-21.3,47,6.1,2441,6.1
4,1007,"Bibb County, Alabama","County, Total Covered",370,4653,213928653,36917683,547806,884,45974,0,0.0,51,1.1,16105754,8.1,3169809,9.4,-29602,-5.1,57,6.9,2991,7.0,"Bibb County, Alabama","County, Total Covered",385,4756,217856056,36984510,567653,881,45809,15,4.1,103,2.2,3927403,1.8,66827,0.2,19847,3.6,-3,-0.3,-165,-0.4,"Bibb County, Alabama","County, Total Covered",404,4836,234460788,37041343,459573,932,48484,19,4.9,80,1.7,16604732,7.6,56833,0.2,-108080,-19.0,51,5.8,2675,5.8
5,1009,"Blount County, Alabama","County, Total Covered",805,8380,318718477,58829969,583141,731,38031,18,2.3,-332,-3.8,6351544,2.0,-550256,-0.9,-49285,-7.8,42,6.1,2178,6.1,"Blount County, Alabama","County, Total Covered",853,8496,341493196,61529686,917321,773,40195,48,6.0,116,1.4,22774719,7.1,2699717,4.6,334180,57.3,42,5.7,2164,5.7,"Blount County, Alabama","County, Total Covered",896,8726,374288938,63453545,745510,825,42896,43,5.0,230,2.7,32795742,9.6,1923859,3.1,-171811,-18.7,52,6.7,2701,6.7
6,1011,"Bullock County, Alabama","County, Total Covered",183,2913,122583717,24085938,401643,809,42089,5,2.8,-37,-1.3,12557943,11.4,1488133,6.6,72943,22.2,92,12.8,4797,12.9,"Bullock County, Alabama","County, Total Covered",195,2812,122105011,23350005,522184,835,43427,12,6.6,-101,-3.5,-478706,-0.4,-735933,-3.1,120541,30.0,26,3.2,1338,3.2,"Bullock County, Alabama","County, Total Covered",206,2713,123191264,23376940,301650,873,45412,11,5.6,-99,-3.5,1086253,0.9,26935,0.1,-220534,-42.2,38,4.6,1985,4.6
7,1013,"Butler County, Alabama","County, Total Covered",489,6382,243963051,53735620,710274,735,38230,3,0.6,-540,-7.8,-527071,-0.2,-3615508,-6.3,-102128,-12.6,56,8.2,2907,8.2,"Butler County, Alabama","County, Total Covered",507,6421,256292390,54919516,1027681,768,39914,18,3.7,39,0.6,12329339,5.1,1183896,2.2,317407,44.7,33,4.5,1684,4.4,"Butler County, Alabama","County, Total Covered",533,6633,281180290,59826907,874411,815,42389,26,5.1,212,3.3,24887900,9.7,4907391,8.9,-153270,-14.9,47,6.1,2475,6.2
8,1015,"Calhoun County, Alabama","County, Total Covered",2555,42802,1862393982,296568220,3025841,837,43511,14,0.6,-1761,-4.0,18801358,1.0,-5531837,-1.8,-459615,-13.2,41,5.2,2140,5.2,"Calhoun County, Alabama","County, Total Covered",2619,43520,1963746551,313622402,4754098,868,45123,64,2.5,718,1.7,101352569,5.4,17054182,5.8,1728257,57.1,31,3.7,1612,3.7,"Calhoun County, Alabama","County, Total Covered",2719,43846,2025016432,322603705,3858516,888,46185,100,3.8,326,0.7,61269881,3.1,8981303,2.9,-895582,-18.8,20,2.3,1062,2.4
9,1017,"Chambers County, Alabama","County, Total Covered",633,8267,339821004,62804858,623038,791,41108,10,1.6,-213,-2.5,8645287,2.6,265856,0.4,-27961,-4.3,40,5.3,2055,5.3,"Chambers County, Alabama","County, Total Covered",669,8364,350781324,66350339,1090043,806,41937,36,5.7,97,1.2,10960320,3.2,3545481,5.6,467005,75.0,15,1.9,829,2.0,"Chambers County, Alabama","County, Total Covered",719,8533,388077578,69432978,947641,875,45477,50,7.5,169,2.0,37296254,10.6,3082639,4.6,-142402,-13.1,69,8.6,3540,8.4
